L, J, Vol, γ, λ1, Λ1
1.0002e-01, 9.8347e-02, 1.1588e-01, 1.0000e-01, 0.0000e+00, 2.4932e-01
6.6742e-02, 6.6503e-02, 4.3829e-02, 1.0000e-01, -1.0928e-02, 2.4932e-01
5.7532e-02, 5.1089e-02, 1.8770e-01, 1.0000e-01, -5.7726e-02, 2.4932e-01
5.7542e-02, 4.7896e-02, 1.3038e-01, 1.0000e-01, -9.0232e-02, 2.4932e-01
5.7894e-02, 5.6360e-02, 1.6619e-02, 1.0000e-01, -9.4375e-02, 2.4932e-01
5.4815e-02, 4.8439e-02, 6.2418e-02, 1.0000e-01, -1.0994e-01, 2.7425e-01
5.1856e-02, 5.2051e-02, -1.7737e-03, 1.0000e-01, -1.0945e-01, 2.7425e-01
4.9639e-02, 4.9472e-02, 1.5205e-03, 1.0000e-01, -1.0987e-01, 2.7425e-01
4.8852e-02, 5.1870e-02, -2.8477e-02, 1.0000e-01, -1.0206e-01, 2.7425e-01
4.9275e-02, 4.7745e-02, 1.4708e-02, 1.0000e-01, -1.0609e-01, 2.7425e-01
4.8018e-02, 5.0303e-02, -2.2168e-02, 1.0000e-01, -1.0001e-01, 3.0168e-01
5.7966e-02, 5.3856e-02, 3.8822e-02, 1.0000e-01, -1.1172e-01, 3.0168e-01
4.8194e-02, 4.6105e-02, 1.8247e-02, 1.0000e-01, -1.1723e-01, 3.0168e-01
4.7965e-02, 5.3854e-02, -5.3986e-02, 1.0000e-01, -1.0094e-01, 3.0168e-01
4.7628e-02, 4.6332e-02, 1.2603e-02, 1.0000e-01, -1.0474e-01, 3.0168e-01
4.8211e-02, 5.4034e-02, -6.0945e-02, 1.0000e-01, -8.6359e-02, 3.3185e-01
4.7325e-02, 4.6289e-02, 1.1724e-02, 1.0000e-01, -9.0249e-02, 3.3185e-01
4.7639e-02, 5.1147e-02, -4.2130e-02, 1.0000e-01, -7.6268e-02, 3.3185e-01
4.7474e-02, 4.5156e-02, 2.8616e-02, 1.0000e-01, -8.5765e-02, 3.3185e-01
4.7015e-02, 4.7029e-02, -1.6295e-04, 1.0000e-01, -8.5710e-02, 3.3185e-01
4.7501e-02, 4.8034e-02, -6.2910e-03, 1.0000e-01, -8.3623e-02, 3.3185e-01
4.6649e-02, 4.6905e-02, -3.0797e-03, 1.0000e-01, -8.2601e-02, 3.3185e-01
4.6581e-02, 4.7728e-02, -1.4296e-02, 1.0000e-01, -7.7857e-02, 3.3185e-01
4.7169e-02, 4.6313e-02, 1.0746e-02, 1.0000e-01, -8.1423e-02, 3.3185e-01
4.6300e-02, 4.6593e-02, -3.6204e-03, 1.0000e-01, -8.0221e-02, 3.3185e-01
4.6220e-02, 4.7547e-02, -1.7159e-02, 1.0000e-01, -7.4527e-02, 3.6503e-01
4.6949e-02, 4.5684e-02, 1.6319e-02, 1.0000e-01, -8.0484e-02, 3.6503e-01
4.5943e-02, 4.6246e-02, -3.7976e-03, 1.0000e-01, -7.9098e-02, 3.6503e-01
4.5878e-02, 4.7457e-02, -2.0973e-02, 1.0000e-01, -7.1442e-02, 3.6503e-01
4.6738e-02, 4.4925e-02, 2.3915e-02, 1.0000e-01, -8.0172e-02, 3.6503e-01
4.5588e-02, 4.5703e-02, -1.4329e-03, 1.0000e-01, -7.9648e-02, 3.6503e-01
4.5762e-02, 4.8136e-02, -3.2176e-02, 1.0000e-01, -6.7903e-02, 3.6503e-01
4.6675e-02, 4.3906e-02, 3.7081e-02, 1.0000e-01, -8.1439e-02, 3.6503e-01
4.5464e-02, 4.5329e-02, 1.6505e-03, 1.0000e-01, -8.2041e-02, 3.6503e-01
4.5543e-02, 4.8590e-02, -4.0846e-02, 1.0000e-01, -6.7131e-02, 3.6503e-01
4.5599e-02, 4.4001e-02, 2.2433e-02, 1.0000e-01, -7.5320e-02, 4.0153e-01
4.5198e-02, 4.6856e-02, -2.3473e-02, 1.0000e-01, -6.5895e-02, 4.0153e-01
4.5843e-02, 4.4376e-02, 2.0934e-02, 1.0000e-01, -7.4301e-02, 4.0153e-01
