L, J, Vol, γ, λ1, Λ1
5.2172e+02, 5.0533e+02, 4.2084e-01, 1.0000e-01, 0.0000e+00, 1.8510e+02
4.1474e+02, 3.7706e+02, 6.3806e-01, 1.0000e-01, -1.1810e+02, 1.8510e+02
4.8136e+02, 3.6030e+02, 6.7160e-01, 1.0000e-01, -2.4242e+02, 1.8510e+02
5.6307e+02, 3.6081e+02, 6.6535e-01, 1.0000e-01, -3.6558e+02, 1.8510e+02
6.4238e+02, 3.6140e+02, 6.5874e-01, 1.0000e-01, -4.8751e+02, 1.8510e+02
7.1906e+02, 3.6215e+02, 6.5151e-01, 1.0000e-01, -6.0810e+02, 2.0361e+02
7.9661e+02, 3.6319e+02, 6.4342e-01, 1.0000e-01, -7.3911e+02, 2.0361e+02
8.7410e+02, 3.6468e+02, 6.3388e-01, 1.0000e-01, -8.6818e+02, 2.0361e+02
9.4653e+02, 3.6678e+02, 6.2236e-01, 1.0000e-01, -9.9490e+02, 2.0361e+02
1.0035e+03, 3.7053e+02, 5.9942e-01, 1.0000e-01, -1.1169e+03, 2.0361e+02
1.0420e+03, 3.9457e+02, 5.5190e-01, 1.0000e-01, -1.2293e+03, 2.2397e+02
2.4391e+03, 1.8067e+03, 4.9235e-01, 1.0000e-01, -1.3396e+03, 2.2397e+02
2.0415e+03, 1.2790e+03, 5.4445e-01, 1.0000e-01, -1.4615e+03, 2.2397e+02
1.6566e+03, 7.7682e+02, 5.7649e-01, 1.0000e-01, -1.5906e+03, 2.2397e+02
1.4040e+03, 4.0240e+02, 6.0398e-01, 1.0000e-01, -1.7259e+03, 2.2397e+02
1.4915e+03, 3.7288e+02, 6.2294e-01, 1.0000e-01, -1.8654e+03, 2.4637e+02
1.5511e+03, 3.9157e+02, 5.9796e-01, 1.0000e-01, -2.0128e+03, 2.4637e+02
1.6251e+03, 4.2944e+02, 5.7391e-01, 1.0000e-01, -2.1542e+03, 2.4637e+02
1.6982e+03, 3.8800e+02, 5.8841e-01, 1.0000e-01, -2.2991e+03, 2.4637e+02
1.7470e+03, 4.1853e+02, 5.6095e-01, 1.0000e-01, -2.4373e+03, 2.4637e+02
1.7759e+03, 4.1784e+02, 5.4235e-01, 1.0000e-01, -2.5709e+03, 2.7101e+02
1.8014e+03, 4.4015e+02, 5.1549e-01, 1.0000e-01, -2.7106e+03, 2.7101e+02
1.8494e+03, 4.1000e+02, 5.1763e-01, 1.0000e-01, -2.8509e+03, 2.7101e+02
1.8968e+03, 4.6551e+02, 4.9061e-01, 1.0000e-01, -2.9839e+03, 2.7101e+02
1.9501e+03, 4.1722e+02, 5.0228e-01, 1.0000e-01, -3.1200e+03, 2.7101e+02
1.9945e+03, 4.7131e+02, 4.7826e-01, 1.0000e-01, -3.2496e+03, 2.9811e+02
2.0472e+03, 4.2332e+02, 4.8876e-01, 1.0000e-01, -3.3953e+03, 2.9811e+02
2.0913e+03, 4.7270e+02, 4.6715e-01, 1.0000e-01, -3.5346e+03, 2.9811e+02
2.1470e+03, 4.2722e+02, 4.7696e-01, 1.0000e-01, -3.6768e+03, 2.9811e+02
2.1849e+03, 4.7871e+02, 4.5563e-01, 1.0000e-01, -3.8126e+03, 2.9811e+02
2.2382e+03, 4.3342e+02, 4.6493e-01, 1.0000e-01, -3.9512e+03, 3.2792e+02
2.2710e+03, 4.8096e+02, 4.4484e-01, 1.0000e-01, -4.0970e+03, 3.2792e+02
2.3280e+03, 4.3668e+02, 4.5340e-01, 1.0000e-01, -4.2457e+03, 3.2792e+02
2.3634e+03, 4.9418e+02, 4.3302e-01, 1.0000e-01, -4.3877e+03, 3.2792e+02
2.4161e+03, 4.4460e+02, 4.4203e-01, 1.0000e-01, -4.5327e+03, 3.2792e+02
2.4300e+03, 4.8329e+02, 4.2301e-01, 1.0000e-01, -4.6714e+03, 3.6071e+02
2.4813e+03, 4.4717e+02, 4.2836e-01, 1.0000e-01, -4.8259e+03, 3.6071e+02
2.5172e+03, 5.1961e+02, 4.0773e-01, 1.0000e-01, -4.9730e+03, 3.6071e+02
2.5674e+03, 4.6248e+02, 4.1697e-01, 1.0000e-01, -5.1234e+03, 3.6071e+02
2.5611e+03, 4.7048e+02, 4.0236e-01, 1.0000e-01, -5.2685e+03, 3.6071e+02
2.5500e+03, 4.7200e+02, 3.8923e-01, 1.0000e-01, -5.4089e+03, 3.9678e+02
2.5462e+03, 5.0005e+02, 3.7318e-01, 1.0000e-01, -5.5570e+03, 3.9678e+02
2.5754e+03, 4.7880e+02, 3.7235e-01, 1.0000e-01, -5.7047e+03, 3.9678e+02
2.5860e+03, 5.4322e+02, 3.5373e-01, 1.0000e-01, -5.8451e+03, 3.9678e+02
2.6325e+03, 4.9543e+02, 3.6118e-01, 1.0000e-01, -5.9884e+03, 3.9678e+02
2.6150e+03, 5.1091e+02, 3.4737e-01, 1.0000e-01, -6.1262e+03, 4.3646e+02
2.6037e+03, 5.0848e+02, 3.3794e-01, 1.0000e-01, -6.2737e+03, 4.3646e+02
2.5876e+03, 5.3802e+02, 3.2306e-01, 1.0000e-01, -6.4147e+03, 4.3646e+02
2.5985e+03, 5.1202e+02, 3.2174e-01, 1.0000e-01, -6.5551e+03, 4.3646e+02
2.6097e+03, 6.1755e+02, 3.0090e-01, 1.0000e-01, -6.6865e+03, 4.3646e+02
2.6404e+03, 5.4329e+02, 3.1049e-01, 1.0000e-01, -6.8220e+03, 4.8010e+02
2.6265e+03, 5.3146e+02, 3.0385e-01, 1.0000e-01, -6.9679e+03, 4.8010e+02
2.5915e+03, 5.8318e+02, 2.8542e-01, 1.0000e-01, -7.1049e+03, 4.8010e+02
2.6084e+03, 5.4507e+02, 2.8761e-01, 1.0000e-01, -7.2430e+03, 4.8010e+02
2.5729e+03, 6.1550e+02, 2.6787e-01, 1.0000e-01, -7.3716e+03, 4.8010e+02
2.5917e+03, 5.6053e+02, 2.7311e-01, 1.0000e-01, -7.5027e+03, 5.2811e+02
2.5454e+03, 6.3036e+02, 2.5299e-01, 1.0000e-01, -7.6363e+03, 5.2811e+02
2.5606e+03, 5.8051e+02, 2.5701e-01, 1.0000e-01, -7.7720e+03, 5.2811e+02
2.5287e+03, 6.2306e+02, 2.4318e-01, 7.5000e-02, -7.9005e+03, 5.2811e+02
2.5152e+03, 6.0512e+02, 2.3985e-01, 7.5000e-02, -8.0271e+03, 5.2811e+02
2.4728e+03, 6.4189e+02, 2.2641e-01, 7.5000e-02, -8.1467e+03, 5.8092e+02
2.4294e+03, 6.4947e+02, 2.1681e-01, 7.5000e-02, -8.2727e+03, 5.8092e+02
2.3851e+03, 6.8150e+02, 2.0446e-01, 7.5000e-02, -8.3914e+03, 5.8092e+02
2.3439e+03, 6.9669e+02, 1.9498e-01, 7.5000e-02, -8.5047e+03, 5.8092e+02
2.3053e+03, 7.1932e+02, 1.8531e-01, 7.5000e-02, -8.6124e+03, 5.8092e+02
2.2654e+03, 7.3891e+02, 1.7620e-01, 7.5000e-02, -8.7147e+03, 6.3902e+02
2.2238e+03, 7.5295e+02, 1.6774e-01, 7.5000e-02, -8.8219e+03, 6.3902e+02
2.1811e+03, 7.7104e+02, 1.5892e-01, 7.5000e-02, -8.9235e+03, 6.3902e+02
2.1377e+03, 7.8595e+02, 1.5067e-01, 7.5000e-02, -9.0197e+03, 6.3902e+02
2.0919e+03, 7.9931e+02, 1.4258e-01, 7.5000e-02, -9.1108e+03, 6.3902e+02
2.0460e+03, 8.1580e+02, 1.3439e-01, 7.5000e-02, -9.1967e+03, 7.0292e+02
1.9961e+03, 8.3035e+02, 1.2615e-01, 7.5000e-02, -9.2854e+03, 7.0292e+02
1.9465e+03, 8.4791e+02, 1.1779e-01, 7.5000e-02, -9.3682e+03, 7.0292e+02
1.8960e+03, 8.6026e+02, 1.1011e-01, 7.5000e-02, -9.4456e+03, 7.0292e+02
1.8432e+03, 8.7637e+02, 1.0197e-01, 7.5000e-02, -9.5173e+03, 7.0292e+02
1.7882e+03, 8.8932e+02, 9.4121e-02, 7.5000e-02, -9.5834e+03, 7.7321e+02
1.7316e+03, 9.0233e+02, 8.6231e-02, 7.5000e-02, -9.6501e+03, 7.7321e+02
1.6742e+03, 9.1622e+02, 7.8301e-02, 7.5000e-02, -9.7106e+03, 7.7321e+02
1.6147e+03, 9.3235e+02, 7.0074e-02, 7.5000e-02, -9.7648e+03, 7.7321e+02
1.5582e+03, 9.5156e+02, 6.1978e-02, 7.5000e-02, -9.8127e+03, 7.7321e+02
1.4977e+03, 9.6631e+02, 5.4042e-02, 7.5000e-02, -9.8545e+03, 8.5053e+02
1.4368e+03, 9.8049e+02, 4.6207e-02, 7.5000e-02, -9.8938e+03, 8.5053e+02
1.3761e+03, 9.9714e+02, 3.8238e-02, 7.5000e-02, -9.9264e+03, 8.5053e+02
1.3142e+03, 1.0169e+03, 2.9911e-02, 7.5000e-02, -9.9518e+03, 8.5053e+02
1.2560e+03, 1.0302e+03, 2.2668e-02, 7.5000e-02, -9.9711e+03, 8.5053e+02
1.1955e+03, 1.0511e+03, 1.4475e-02, 7.5000e-02, -9.9834e+03, 9.3558e+02
1.1365e+03, 1.0655e+03, 7.1063e-03, 7.5000e-02, -9.9900e+03, 9.3558e+02
1.0749e+03, 1.0821e+03, -7.1352e-04, 7.5000e-02, -9.9894e+03, 9.3558e+02
1.0167e+03, 1.0963e+03, -7.9726e-03, 7.5000e-02, -9.9819e+03, 9.3558e+02
9.5872e+02, 1.1159e+03, -1.5754e-02, 7.5000e-02, -9.9672e+03, 9.3558e+02
9.0293e+02, 1.1295e+03, -2.2755e-02, 7.5000e-02, -9.9459e+03, 1.0291e+03
8.4716e+02, 1.1456e+03, -3.0049e-02, 7.5000e-02, -9.9150e+03, 1.0291e+03
7.9391e+02, 1.1595e+03, -3.6947e-02, 7.5000e-02, -9.8769e+03, 1.0291e+03
7.4263e+02, 1.1765e+03, -4.4024e-02, 7.5000e-02, -9.8316e+03, 1.0291e+03
6.9387e+02, 1.1998e+03, -5.1598e-02, 7.5000e-02, -9.7785e+03, 1.0291e+03
6.5015e+02, 1.2129e+03, -5.7723e-02, 7.5000e-02, -9.7191e+03, 1.1321e+03
6.0476e+02, 1.2332e+03, -6.4901e-02, 7.5000e-02, -9.6456e+03, 1.1321e+03
5.6624e+02, 1.2452e+03, -7.0686e-02, 7.5000e-02, -9.5656e+03, 1.1321e+03
5.2650e+02, 1.2713e+03, -7.8225e-02, 7.5000e-02, -9.4771e+03, 1.1321e+03
4.9424e+02, 1.2902e+03, -8.4414e-02, 7.5000e-02, -9.3815e+03, 1.1321e+03
4.6892e+02, 1.3086e+03, -8.9995e-02, 7.5000e-02, -9.2796e+03, 1.2453e+03
4.5434e+02, 1.3378e+03, -9.5824e-02, 7.5000e-02, -9.1603e+03, 1.2453e+03
4.5690e+02, 1.2903e+03, -9.1548e-02, 7.5000e-02, -9.0463e+03, 1.2453e+03
4.5668e+02, 1.4156e+03, -1.0678e-01, 7.5000e-02, -8.9133e+03, 1.2453e+03
4.7813e+02, 1.2563e+03, -8.7849e-02, 7.5000e-02, -8.8039e+03, 1.2453e+03
5.2263e+02, 1.5116e+03, -1.1325e-01, 7.5000e-02, -8.6629e+03, 1.3698e+03
5.1424e+02, 1.3514e+03, -9.7391e-02, 7.5000e-02, -8.5295e+03, 1.3698e+03
5.3425e+02, 1.2558e+03, -8.5180e-02, 7.5000e-02, -8.4128e+03, 1.3698e+03
5.3153e+02, 1.3230e+03, -9.4811e-02, 7.5000e-02, -8.2830e+03, 1.3698e+03
5.4326e+02, 1.2364e+03, -8.4273e-02, 7.5000e-02, -8.1675e+03, 1.3698e+03
5.4520e+02, 1.3960e+03, -1.0509e-01, 7.5000e-02, -8.0236e+03, 1.5068e+03
5.6021e+02, 1.2371e+03, -8.5043e-02, 7.5000e-02, -7.8954e+03, 1.5068e+03
5.6599e+02, 1.3812e+03, -1.0429e-01, 7.5000e-02, -7.7383e+03, 1.5068e+03
5.8481e+02, 1.2177e+03, -8.2443e-02, 7.5000e-02, -7.6141e+03, 1.5068e+03
